,Unnamed: 0,date,high,low,open,close,20_MA,50_MA,entry_qaulity,candle_pattern_check,candle_pattern_score,bb_check,bb_score,trend_0,trend_1,trend_score,grad_0,grad_1,grad_score,RSI,RSI_score
3192,3192,2021-06-22 17:41:00,1908.83561505,1904.4,1904.4,1908.0,1908.1797321420008,1907.391041374799,,,,,,,,,,,,,
3193,3193,2021-06-22 17:42:00,1910.4,1906.1,1906.9,1906.9,1908.4897321420008,1907.361184423799,,,,,,,,,,,,,
3194,3194,2021-06-22 17:43:00,1906.2,1900.5,1906.1,1901.4,1908.334732142001,1907.2860850459992,,,,,,,,,,,,,
3195,3195,2021-06-22 17:44:00,1901.50221324,1899.25055355,1900.9,1901.50221324,1908.2898428040005,1907.2841293107992,,,,,,,,,,,,,
3196,3196,2021-06-22 17:45:00,1902.23182493,1897.1,1900.4,1902.23182493,1908.3214340505008,1907.0147658094,,,,,,,,,,,,,
3197,3197,2021-06-22 17:46:00,1905.9,1902.86421583,1902.86421583,1904.0,1908.2314340505004,1906.8489514282,,,,,,,,,,,,,
3198,3198,2021-06-22 17:47:00,1905.8,1901.3,1904.9,1901.7,1907.9714340505,1906.6609514281995,,,,,,,,,,,,,
3199,3199,2021-06-22 17:48:00,1901.1,1897.1,1901.1,1897.3,1907.7664340505005,1906.2969514282,,,,,,,,,,,,,
3200,3200,2021-06-22 17:49:00,1897.7,1895.1,1897.1,1895.7,1907.1314340505005,1905.8189514282,,,,,,,,,,,,,
3201,3201,2021-06-22 17:50:00,1902.86421583,1897.9,1897.9,1902.4,1906.6514340505005,1905.2589514282,,,,,,,,,,,,,
3202,3202,2021-06-22 17:51:00,1904.8,1902.5,1902.5,1903.2,1905.9214340505,1904.8749514281992,,,,,,,,,,,,,
3203,3203,2021-06-22 17:52:00,1905.12275475,1902.9,1904.0,1904.3,1905.5414340505,1904.6669514282,,,,,,,,,,,,,
3204,3204,2021-06-22 17:53:00,1908.9,1905.3,1905.3,1908.9,1905.5864340505,1904.3926896519995,,,,,,,,,,,,,
3205,3205,2021-06-22 17:54:00,1921.6,1908.8,1908.8,1918.6,1906.1664340505,1904.467797849,,,,,,,,,,,,,
3206,3206,2021-06-22 17:55:00,1920.9,1916.18448774,1918.62369909,1916.18448774,1906.2806584375,1904.579507298,,,,,,,,,,,,,
3207,3207,2021-06-22 17:56:00,1919.0,1909.1,1916.8,1909.2,1906.0159262955,1904.6548584722,,,,,,,,,,,,,
3208,3208,2021-06-22 17:57:00,1910.6,1907.1,1909.3,1907.24006489,1905.66792954,1904.6310385264,,,,,,,,,,,,,
3209,3209,2021-06-22 17:58:00,1915.7,1909.9,1909.9,1913.11266575,1905.7285628275,1904.8092918414,,,,,,,,,,,,,
3210,3210,2021-06-22 17:59:00,1914.6,1910.8,1914.6,1910.8,1905.8635628275,1904.9831345296,,,,,,,,,,,,,
3211,3211,2021-06-22 18:00:00,1912.02849328,1904.1,1911.4,1905.2,1905.8935628275,1905.0491345296,,,,,,,,,,,,,
3212,3212,2021-06-22 18:01:00,1911.4,1904.8,1904.8,1910.7,1906.0285628275,1905.296855577,,,,,,,,,,,,,
3213,3213,2021-06-22 18:02:00,1910.5376524,1904.59814939,1910.22153917,1904.59814939,1905.913470297,1905.4048185648,,,,,,,,,,,,,
3214,3214,2021-06-22 18:03:00,1907.13348621,1904.26848849,1905.50140186,1904.59814939,1906.0733777665,1905.5847815526,,,,,,,,,,,,,
3215,3215,2021-06-22 18:04:00,1906.1,1903.1,1905.58161244,1903.6,1906.1782671045,1905.7027815526,,,,,,,,,,,,,
3216,3216,2021-06-22 18:05:00,1905.14010087,1896.2,1903.1,1901.9,1906.161675858,1905.7187815526,,,,,,,,,,,,,
3217,3217,2021-06-22 18:06:00,1901.9,1897.73343065,1900.98513953,1901.43676576,1906.033514146,1905.7815168678,,,,,,,,,,,,,
3218,3218,2021-06-22 18:07:00,1907.9,1901.05164856,1901.9,1904.1,1906.1535141460004,1905.9004489402,,,,,,,,,,,,,
