,date,buy_price,ATR,candle_size,stop_loss,sell_marker,risk
49,2021-06-22 21:08:00,1917.6,4.280165675619508,2.5,1910.8198343243805,1926.160331351239,1.263
50,2021-06-22 23:24:00,1880.58868662,5.50576104669028,8.5,1867.0942389533095,1891.6002087133809,0.816
51,2021-06-23 00:59:00,1937.9,9.434639458176404,9.019165969999904,1920.362245421824,1956.769278916353,1.076
52,2021-06-23 02:11:00,2005.7,6.079106926527376,3.7999999999999545,1998.3208930734727,2017.8582138530548,1.648
53,2021-06-23 02:30:00,2000.0,4.4048966403860526,5.2999999999999545,1990.495103359614,2008.809793280772,0.927
54,2021-06-23 02:55:00,2023.1,4.564438889406317,4.2000000000000455,2018.4355611105937,2032.2288777788128,1.957
55,2021-06-23 03:05:00,2002.2,4.298550086378438,5.421375249999983,1993.4800746636215,2010.797100172757,0.986
56,2021-06-23 03:45:00,2008.6,4.4089108995536295,7.2000000000000455,1998.8910891004464,2017.417821799107,0.908
57,2021-06-23 03:59:00,2015.6,4.145426552157633,6.7000000000000455,2005.3545734478423,2023.8908531043155,0.809
58,2021-06-23 05:45:00,2026.1,3.5537536846953413,5.399999999999864,2017.1462463153048,2033.207507369391,0.794
59,2021-06-23 06:04:00,2028.8,4.699687762163413,4.794417310000199,2019.4058949278365,2038.1993755243268,1.001
